id,name,type,is_deceased,date_of_birth,date_of_death
m.02q_9fv,Michael Lohr,people.person,true,1591-09-23,1654-02-17
m.02w6z47,Jane Mendelsohn,people.person,false,1965-01-01,null
m.03mc1mv,Johann Adam von Ickstatt,people.person,true,1702-01-06,1776-08-17
m.04f3wmm,Sam Vogel,people.person,false,1902-07-28,null
m.064nbmm,Vladimir Fedotov,people.person,false,1966-08-12,null
m.0113syn9,Joshua Tomar,people.person,false,1986-03-08,null
m.011yyzxd,Fumio Nunoya,people.deceased_person,true,1947-01-25,2012-01-15
m.0115k1_0,Azlee Senario,people.person,false,1967-06-11,null
m.011dhv7s,Hojo Taro,people.person,false,1976-09-18,null
m.026p57s,Agnes Hijman,people.person,false,1966-01-17,null
m.06zm5df,Mark Okano,people.person,false,1979-02-11,null
m.02_4n_,Abdul Rasul Sayyaf,people.person,false,1949-01-01,null
m.03mvd_,Angus Tait,people.person,true,1919-07-22,2007-08-07
m.026ns98,Fred Haynes,people.deceased_person,true,1946-03-29,2006-11-05
m.04cdv_,Edward Ernest Bowen,people.deceased_person,true,1836-03-30,1901-04-08
m.06_ww13,Bertram Pollock,people.person,true,1863-01-01,1943-01-01
m.07yblz1,Anouschka Renzi,people.person,false,1964-08-06,null
m.02vpp5l,Bhalindra Singh,people.person,true,1919-10-09,1992-04-16
m.02qz14_,Dyego Rocha Coelho,people.person,false,1983-03-22,null
m.012pslqy,Hendrik Faydherbe,people.person,true,1574-01-01,1629-01-01
m.05xd0qt,David Smith,people.person,false,1963-01-01,null
m.065shl,Clara Novello Davies,people.deceased_person,true,1861-04-07,1943-02-07
m.07xy9tr,Claire Bouanich,people.person,false,1994-07-12,null
m.05b0dxt,Adam Cruz,people.person,false,1970-01-01,null
m.012llzbd,Billy Eames,people.person,false,1957-09-20,null
m.03d7wdw,Allen Miller,people.person,false,1948-08-10,null
m.05n0lr,Larry Costello,people.deceased_person,true,1931-07-02,2001-12-13
g.11dyjy32k,Duchess Christiane of Mecklenburg,people.deceased_person,true,1735-12-06,1794-01-01
m.04jjb54,Alison Gregorka,people.person,false,1985-06-29,null
m.01296ykg,Gayatri,people.person,false,1960-01-01,null
m.06wbmh8,Brian Tyson,people.person,false,1930-01-01,null
m.02rhy4n,Billy Moran,people.person,false,1933-11-27,null
m.06k_p3,Sandra Shine,people.person,false,1981-09-09,null
m.051y2mw,Christian Prosenik,people.person,false,1968-06-07,null
m.04zmd2,Charles Eric Leiserson,people.person,false,1953-11-10,null
m.02rsr8x,John McPhail,people.deceased_person,true,1923-12-27,2000-11-06
m.027k7qy,Geetika Jakhar,people.person,false,1985-08-18,null
g.121yyf9_,Guusje Kaayk,people.person,false,1950-03-18,null
m.02rhg9x,Frank Gay Clarke,people.person,true,1850-09-10,1901-01-09
m.03c_3mx,Lorne Resnick,people.person,false,1961-05-16,null
m.02plj64,Devin Galligan,people.person,true,1972-01-01,2003-12-27
m.0108dl5k,Georges Huber,people.person,true,1910-01-01,2003-01-23
m.012vqkf4,Tom McQueen,people.person,false,1929-02-21,null
m.03d338p,Paula Haapakoski,people.person,false,1977-02-03,null
m.02z1fnt,Norman Cleaveland,people.person,true,1901-04-04,1997-06-08
g.11_p4rccl,Vaino Haapalainen,people.person,true,1893-05-29,1945-11-08
m.027zx2_,Neil Balfour,people.person,false,1944-08-12,null
m.06zn9pg,Greg Sherman,people.person,false,1970-03-30,null
m.0644g4y,Story Elias Elfman,people.person,false,2007-07-23,null
m.011f2sky,Hubert Chapman,people.deceased_person,true,1910-02-20,1972-04-10
m.01v9zcq,Tokala Clifford,people.person,false,1984-01-01,null
m.02z11rd,Nicholas Stacey,people.deceased_person,true,1920-12-05,1997-01-19
m.07kg2w8,Robert Haresnape,people.deceased_person,true,1866-01-01,1951-01-01
m.082d7p,Phil Redmond,people.person,false,1949-06-10,null
m.02z79fg,Daniel Hollands,people.deceased_person,true,1927-01-20,2006-07-07
m.0120_m3d,Jonathan Solis,null,false,1999-06-25,null
m.040sjh,Nino Castelnuovo,people.person,false,1936-10-28,null
m.01311xy3,Sipho Nofemele,people.person,false,1989-11-12,null
m.05b_yz7,Nicky Gooch,people.person,false,1973-01-30,null
m.011l4r0z,Cristina Laslo,people.person,false,1996-04-10,null
m.02pn_rf,Morton Tubor,people.person,false,1920-06-01,null
m.03wc226,Caroline Thielo,people.deceased_person,true,1735-01-01,1754-01-01
m.05xjmgr,David Johnson,people.person,false,1950-01-01,null
m.01tblt,Jacques Thibaud,people.person,true,1880-09-20,1953-09-01
m.02q0jgr,Darren Eliot,people.person,false,1961-11-26,null
m.04pfn8,Ruth Elfriede Hildner,people.person,true,1919-11-01,1947-05-02
m.040967x,Mikael Lidhammar,people.person,false,1987-10-28,null
m.03h2966,Jacintha Buddicom,people.person,true,1901-05-10,1994-01-01
m.0661fwv,Donna Creighton,people.person,false,1985-09-20,null
m.02x68s2,Martin Kaymer,people.person,false,1984-12-28,null
m.07_hq4,Mikhail Masjkovtsev,people.person,false,1947-01-01,null
m.083xjn,Paulin Obame Nguema,people.person,false,1934-12-28,null
m.012tqp5t,Vladimir Djukic,people.person,false,1988-01-01,null
m.03j1vc_,Bohuslav Matousek,people.person,false,1949-01-01,null
m.05x89vw,Lionello Puppi,people.person,false,1931-01-01,null
m.04zzbvx,Philippe Gosselin,people.person,false,1966-10-23,null
m.02wl12p,Mark Wadlow,people.person,false,1962-01-01,null
m.04n2vgk,Kid Cudi,people.person,false,1984-01-30,null
m.0439p8,Helen Duncan,people.deceased_person,true,1941-01-01,2007-02-06
m.0463z_5,Richard Fielder,people.person,true,1758-01-01,1826-01-01
m.05myqrh,Rondell Sorrillo,people.person,false,1986-01-24,null
m.02z130n,John Baughan,people.deceased_person,true,1754-05-05,1797-09-25
m.03x_nzc,Stelios Maistrellis,people.person,false,1979-11-10,null
m.011nmwx3,Pierre Coulibeuf,people.person,false,1949-01-01,null
